id,@id,access,addr:city,addr:conscriptionnumber,addr:country,addr:floor,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:street,addr:streetnumber,addr:suburb,air_conditioning,alcohol,alt_name,amenity,amenity_1,area,area:ha,bar,bat,beer,beer_garden,bench,bicycle,bicycle_parking,bin,board_games,board_type,boundary,brand,brewery,building,building:flats,building:levels,building:part,building:ruian:type,bus,capacity,changing_table,charge,check_date,check_date:currency:XBT,check_date:diet:vegetarian,check_date:opening_hours,check_date:shelter,check_date:smoking,climbing,climbing:grade:uiaa,cocktails,contact:email,contact:facebook,contact:fax,contact:instagram,contact:mobile,contact:phone,contact:pinterest,contact:website,contact:youtube,covered,craft,created_by,cuisine,currency:XBT,cycleway:both,cycleway:left,delivery,description,description:cs,description:en,designation,dibavod:id,diet:meat,diet:vegan,diet:vegetarian,disused,disused:amenity,dog,drink,drink:absinthe,drink:beer,drink:cocktail,drink:craft_beer,drink:kofola,drink:mead,drink:whisky,drink:wine,drive_through,education,eea:cdda:parentiso,eea:cdda:sitecode,email,facebook,fax,fee,fixme,floating,food,foot,garden,healthcare,highchair,highway,image,indoor,indoor_seating,information,internet_access,internet_access:fee,internet_access:ipv6,internet_access:password,iucn_level,kids_area,landuse,lane_markings,lanes,language:menu:cs,language:menu:de,language:menu:en,language:menu:ru,layer,leisure,level,lgbtq,lit,live_music,loc_name,local_ref,man_made,maxheight,maxspeed,maxspeed:type,microbrewery,microbrewery:description,min_age,mobile,motor_vehicle,name,name:cs,name:de,name:en,name:en1,name:etymology:wikidata,name:fr,name:he,name:hu,name:prefix,name:ru,name:uk,name:zh,natural,note,official_name,old_addr:street,old_name,old_ref,oneway,oneway:bicycle,opening_date,opening_hours,opening_hours:covid19,opening_hours:kitchen,opening_hours:outdoor_seating,opening_hours:signed,operator,operator:wikidata,outdoor_seating,panoramax,parking:both,parking:left,parking:left:orientation,parking:right,parking:right:orientation,payment:app,payment:apple_pay,payment:card,payment:cards,payment:cash,payment:cash:CZK,payment:coins,payment:contactless,payment:credit_cards,payment:cryptocurrencies,payment:debit_cards,payment:description,payment:electronic_purses,payment:google_pay,payment:jcb,payment:lightning,payment:lightning:companion_app_url,payment:lightning:requires_companion_app,payment:lightning_contactless,payment:maestro,payment:mastercard,payment:mastercard_contactless,payment:mastercard_debit,payment:meal_voucher,payment:nfc,payment:notes,payment:onchain,payment:others,payment:qerko,payment:qerko:lightning,payment:qr_code,payment:visa,payment:visa_debit,payment:visa_electron,phone,post_office:brand,post_office:parcel_pickup,product,protect_class,protection_title,protection_title:en,public_transport,real_ale,ref,ref:PID,ref:ico,ref:ruian:addr,ref:ruian:building,ref:vatin,reservation,restaurant,reusable_packaging:offer,roof:colour,roof:levels,roof:material,roof:shape,room,rooms,seasonal,segregated,self_checkout,self_service,sells:beer,shelter,shop,short_name,sidewalk,sidewalk:both,sidewalk:left,sidewalk:left:surface,sidewalk:right,smokefree,smoking,smoothness,sorting_name,source,source:addr,source:loc,source:maxspeed,source:opening_hours,source:opening_hours:date,source:width,sport,stars,start_date,stroller,surface,survey:date,tabletop_games,tactile_paving,takeaway,theme,tobacco,toilets,toilets:access,toilets:disposal,toilets:fee,toilets:gender_segregated,toilets:menstrual_products,toilets:supervised,toilets:unisex,toilets:wheelchair,tourism,type,url,vehicle,vending,was:amenity,water,website,website:booking,website:cz,website:en,website:menu,wheelchair,wheelchair:description,width,wifi,wikidata,wikimedia_commons,wikimedia_commons:path,wikipedia,wine,zone:maxspeed,@geometry,geometry,city_source,source_crs
way/13882119,way/13882119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,no,,,,,,,,,,yes,,,,,,,,,,,,,U Vysočanského pivovaru,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,,,asphalt,,,,good,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (14.504202 50.108146),Prague,EPSG:4326
relation/14981653,relation/14981653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Učebny JIH 008-568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pivnice JIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,center,POINT (14.377402 50.130461),Prague,EPSG:4326
relation/16308252,relation/16308252,,,,,,,,,,,,,,,,biergarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spojovna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,center,POINT (14.499206 50.0199),Prague,EPSG:4326
relation/17261848,relation/17261848,,,,,,,,,,,,,,,,biergarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,center,POINT (14.532762 50.040222),Prague,EPSG:4326
way/22121153,way/22121153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,30,,,,,,,Pivovarnická,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,separate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,separate,,,,,,,,zone,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,center,POINT (14.475338 50.10934),Prague,EPSG:4326
way/22123333,way/22123333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,default,,,,,,,,Pivovarnická,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,center,POINT (14.478124 50.109247),Prague,EPSG:4326
way/25401466,way/25401466,,,,,,,,,,,,,,,,biergarten,,,,,,,,,,,,,,,,,civic,,2,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42938741,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuzk:ruian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (14.423306 50.096332),Prague,EPSG:4326
way/27753989,way/27753989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,69,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Černý pivovar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21669155,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuzk:ruian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q38036737,,,,,,center,POINT (14.418994 50.076708),Prague,EPSG:4326
way/35036719,way/35036719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,destination,Za Pivovarem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (14.604596 50.026888),Prague,EPSG:4326
way/50111544,way/50111544,,,,,,,11,,,Klíčovská,,,,,,restaurant,,,,,,,,,,,,,,,,,retail,3,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,Restaurace a pension Školička,,,,,,,,,,,,,,,,,,,,,,Mo-Su 11:00-22:00,,,,,,,yes,,,,,,,,,,,yes,,,yes,yes,,yes,,,,,,,,,,,,,,yes,,,,,,,,,,+420286583299,,,,,,,,,,,,,22254897,,,,,,0,,gabled,,,,,,,,,,,,,,,,,,,,cuzk:ruian,,,,,,,,,,,,,,,yes,,,,,,,,,,,,hotel,,,,,,,https://www.skolicka.cz/,,,,,no,,,,Q101246551,Category:Pivovar a penzion Beznoska,,,,,center,POINT (14.507138 50.117626),Prague,EPSG:4326
way/50969545,way/50969545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112010220018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pivovarský rybník,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vuv:dibavod:a05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pond,,,,,,,,,,Q96402368,Category:Pivovarský rybník (Motol),,,,,center,POINT (14.331382 50.067134),Prague,EPSG:4326
way/61697945,way/61697945,,,,,,,,,,,,,,,,bar,,,,,,,,,,,,,,,,,commercial,,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25251465,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuzk:ruian,,,,,,,,,2003-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (14.512996 50.057375),Prague,EPSG:4326
way/62147117,way/62147117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,2,1,,3,,,,,2023-05-12,,,,,,,,,,,,,,,,,,,brewery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pivovar U Bulovky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22196382,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuzk:ruian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (14.466294 50.115313),Prague,EPSG:4326
way/62176341,way/62176341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,industrial,,1,,19,,,,,2026-06-13,,,,,,,,,,,,,,,,,,,brewery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trilobit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22204644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (14.476092 50.10753),Prague,EPSG:4326
way/75854013,way/75854013,,,,,,,,,,,,,,,,biergarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (14.471822 50.02129),Prague,EPSG:4326
way/100895271,way/100895271,,,,,,,,,,,,,,,,biergarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (14.413827 50.047731),Prague,EPSG:4326
way/113160349,way/113160349,,,,,,,,,,,,,,,,biergarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (14.605208 50.029446),Prague,EPSG:4326
way/116744861,way/116744861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pivovar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40519821,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuzk:ruian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q31144999,,,,,,center,POINT (14.393031 49.976608),Prague,EPSG:4326
