id,@id,access,access:covid19,addr:city,addr:country,addr:floor,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:street,addr:suburb,air_conditioning,alt_name,amenity,area,artwork_type,bar,bench,bicycle,bin,board_type,branch,brewery,brewery:Pils,brewery:Weizen,brewery:helles,brewery:pils,brewery:weizen,bridge,bridge:structure,building,building:colour,building:levels,building:part,bus,capacity,capacity:biergarten,capacity:disabled,capacity:pub,changing_table,changing_table:location,check_date,check_date:cycleway:surface,check_date:opening_hours,check_date:smoking,check_date:toilets:wheelchair,class:bicycle,clothes,club,cocktails,colour,comment,contact:email,contact:facebook,contact:fax,contact:instagram,contact:mobile,contact:phone,contact:twitter,contact:website,contact:yelp,content,craft,created_by,cruising,cuisine,currency:EUR,currency:XBT,cycleway:both,cycleway:left,cycleway:right,cycleway:surface,delivery,delivery_hours,description,description:de,designation,destination,destination:colour,destination:lanes,destination:ref,destination:symbol,diet:halal,diet:kosher,diet:vegan,diet:vegetarian,disused:amenity,disused:shop,drink:beer,drink:club-mate,drink:coffee,drink:tea,drink:wine,drive_through,dual_carriageway,ele,email,end_date,entrance,est_height,event,fax,fee,fee:icom_member,female,fetish:bears,fetish:jeans,fetish:leather,fetish:rubber,fetish:sneakers,fetish:uniform,fixme,food,foot,footway:surface,from,full_name,gambling,games,gtfs:feed,gtfs:route_id,gtfs:shape_id,gtfs:trip_id:like,gtfs:trip_id:sample,hairdresser,happy_hours,healthcare,healthcare:speciality,height,heritage,heritage:operator,hgv,highway,historic,horse,identity,image,incline,indoor,indoor_seating,industrial,information,inscription,instagram,interaction,internet_access,internet_access:fee,internet_access:ssid,karaoke,kerb,kerb:height,landuse,lane_markings,lanes,layer,leisure,level,lgbtq,lgbtq:men,lit,live_music,loc_name,location,lockable,male,man_made,mapillary,material,max_age,maxheight,maxspeed,maxspeed:type,memorial,microbrewery,min_age,mobile,moped,motor_vehicle,motorcar,motorroad,music_genre,mvv:zone,name,name:de,name:en,name:etymology,name:etymology:wikidata,name:it,name:ru,name:signed,name:zh,narrow,network,network:area,network:guid,network:short,network:wikidata,network:wikipedia,nohousenumber,note,office,official_name,old_name,old_opening_hours,old_website,oneway,opening_hours,opening_hours:covid19,opening_hours:kitchen,opening_hours:signed,opening_hours:url,operator,operator:short,operator:type,organic,origin,outdoor_area,outdoor_seating,parking:both,parking:both:restriction,parking:condition:both,parking:lane:both,parking:left,parking:left:fee,parking:left:orientation,parking:right,parking:right:restriction,payment:american_express,payment:apple_pay,payment:cards,payment:cash,payment:coins,payment:contactless,payment:credit_cards,payment:cryptocurrencies,payment:debit_cards,payment:diners_club,payment:discover_card,payment:electronic_purses,payment:girocard,payment:google_pay,payment:lightning,payment:lightning_contactless,payment:maestro,payment:mastercard,payment:none,payment:notes,payment:onchain,payment:qr_code,payment:satispay,payment:unionpay,payment:v_pay,payment:visa,phone,placement,platform:width,postal_code,preschool,product,public_transport,public_transport:version,railway,ref,ref:BLfD,ref:IFOPT,ref:vatin,ref_trips,reservation,roof:colour,roof:height,roof:levels,roof:material,roof:shape,room,route,route:category,seasonal,seats,second_hand,segregated,self_service,service:electricity,share_taxi,shelter,shisha,shop,short_name,shoulder,sidewalk,sidewalk:both,sidewalk:left,sidewalk:right,sidewalk:right:width,smoking,smoking:outside,smoothness,social_facility,social_facility:for,source,source:maxspeed,source_ref,sport,stars,start_date,station,subway,surface,tactile_paving,takeaway,temporary:amenity,terrace,theme,tmc,to,toilets,toilets:access,toilets:wheelchair,tourism,traffic_sign,train,tunnel,turn:lanes,type,unsigned,website,website:menu,wheelchair,wheelchair:description,width,wifi,wikidata,wikimedia_commons,wikipedia,yelp,zone:maxspeed,@geometry,geometry,city_source,source_crs
way/4300524,way/4300524,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,delivery,trunk,,,,,,,,,,,,,,,,,,,,,2,-1,,,,,,,,,,,,,,,none,60,,,,,,,,,no,,,Georg-Brauchle-Ring,,,,Q108550,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B 2R,,,,,,,,,,,,,,,,,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,asphalt,,,,,,DE:22699,,,,,,,,yes,,,,,,,,,,,,,,,center,POINT (11.558503 48.176062),Munich,EPSG:4326
way/4591433,way/4591433,,,,,,,,,,,,,,,,,,,use_sidepath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,use_sidepath,,,,,,,,,,,,,,,,,,,primary,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georg-Brauchle-Ring,,,,Q108550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,Q1503345,,,,,center,POINT (11.536322 48.176336),Munich,EPSG:4326
way/4609516,way/4609516,,,,,,,,,,,,,,biergarten,,,,,,,,,Augustiner Bräu München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://hirschgarten.de/,,,,,,bavarian,,,,,,,,,Europas größter Biergarten und auch der größte der Welt (Stand 2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Königlicher Hirschgarten,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 11:00-24:00,,Mo-Su 11:00-22:00,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,yes,,,,,,,,,center,POINT (11.511007 48.149455),Munich,EPSG:4326
way/4609522,way/4609522,,,München,DE,,,52,,80335,Arnulfstraße,,no,Augustinerkeller,biergarten,,,,,,,,,Augustiner Bräu München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,büro@augustiner-keller.de,,+49 89 5504415,,,+49 89 594393,,https://www.augustinerkeller.de/de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recreation_ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Augustiner-Keller,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 11:30-24:00,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,limited,,,,Q19834972,,,,,center,POINT (11.551597 48.143534),Munich,EPSG:4326
way/4857941,way/4857941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,Barbierstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lane,no,parallel,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,both,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (11.499513 48.117797),Munich,EPSG:4326
relation/5207448,relation/5207448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georg-Brauchle-Ring,,,,,,,,,,Münchner Verkehrs- und Tarifverbund,,DE-BY-MVV,MVV,,,,,,,,,,,,,,,,Münchner Verkehrsgesellschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stop_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public_transport,,,,,,,,,,,,,center,POINT (11.529274 48.176798),Munich,EPSG:4326
way/5215288,way/5215288,,,,,,,,,,,,,,,,,,,designated,,,,,,,,,,,,,,,,,,,,,,,,2023-12-26,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,designated,paving_stones,,,,,,,,,,,,,,,,,,path,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,Lily-Braun-Weg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,paved,,,,,,,,,,,,DE:239;DE:237;DE:1000-31,,,,,,,,,,,,,,,,,center,POINT (11.545332 48.163878),Munich,EPSG:4326
relation/5518556,relation/5518556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paulaner Brauerei,,,,,,,,,,Münchner Verkehrs- und Tarifverbund,,DE-BY-MVV,MVV,,,,,,,,,,,,,,,,Münchner Verkehrsgesellschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stop_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public_transport,,,,,,,,,,,,,center,POINT (11.437146 48.175988),Munich,EPSG:4326
way/5832888,way/5832888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,Braunschweiger Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (11.502199 48.185019),Munich,EPSG:4326
way/10073620,way/10073620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,primary_link,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,DE:urban,,,,,,,,,,,Georg-Brauchle-Ring,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (11.530941 48.176393),Munich,EPSG:4326
relation/15508366,relation/15508366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#005262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Berganger, Braunautal",,,,DE-BY-MVV,mvv-16-4900-1,,,mvv-16-4900-1-1-11-R-0-MoTuWeThFrSaSu-11-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ruftaxi 4900: Berganger, Braunautal => Neuperlach Süd (S/U)",,,,,,,,,,Münchner Verkehrs- und Tarifverbund,,DE-BY-MVV,MVV,Q259000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4900,,,,10.T0.16-490-0-s23-1.2.R,,,,,,,,bus,call,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neuperlach Süd (S/U),,,,,,,,,route,,https://www.mvv-muenchen.de/mobilitaetsangebote/bedarfsverkehr/index.html,,,,,,,,,,,center,POINT (11.78068 48.021392),Munich,EPSG:4326
