id,@id,FIXME,access,accommodation,addr:city,addr:country,addr:county,addr:floor,addr:housename,addr:housenumber,addr:postal_district,addr:postcode,addr:street,addr:substreet,addr:suburb,air_conditioning,alt_name,amenity,atm,branch,brand,brand:facebook,brand:instagram,brand:twitter,brand:website,brand:wikidata,brand:wikipedia,brand:youtube,brewery,building,building:colour,building:facade:material,building:levels,building:material,building:part,changing_table,check_date,check_date:diet:vegetarian,check_date:opening_hours,closed:amenity,cocktails,contact:email,contact:facebook,contact:instagram,contact:phone,contact:tiktok,contact:tripadvisor,contact:twitter,contact:website,contact:yelp,contact:youtube,craft,craft_beer,cuisine,description,description:it,diet:gluten_free,diet:vegan,diet:vegetarian,disused,disused:amenity,dog,drink:beer,drive_through,email,events_venue,fax,fireplace,fixme,food,former:name,games,heritage,indoor_seating,internet_access,internet_access:fee,internet_access:ssid,landuse,layer,level,lgbtq,live_music,mapillary,microbrewery,min_age,music_genre,name,name:en,name:ga,name:ko,name:zh,nohousenumber,not:brand:wikidata,note,old_name,old_name:2015,old_name:2017,old_name:2018,old_name_1,old_name_2,opening_hours,opening_hours:signed,operator,outdoor_seating,panoramax,payment:card,payment:cash,payment:credit_cards,payment:debit_cards,payment:mastercard,payment:visa,pets_allowed,phone,phone:mobile,product,real_ale,real_fire,ref:vatin,reservation,roof:colour,roof:material,roof:shape,shop,short_name,smoking,source,source:website,sport,start,start_date,takeaway,toilets,toilets:access,toilets:wheelchair,tourism,type,website,website:booking,website:menu,website:orders,wheelchair,wheelchair:description,wikidata,wikimedia_commons,wikipedia,year_built,@geometry,geometry,city_source,source_crs
way/52304330,way/52304330,,,,Dublin,IE,Dublin,,,,,D09 XW44,Cross Guns Bridge,,,,,pub,,,,,,,,,,,,retail,,,,,,,2024-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@thebernardshaw.com,,,,,,,,,,,,,,,,,,,,,,The Bernard Shaw,,,,,,,,The Whitworth At The Porterhouse,,,,,,,,,,,,,,,,,,+353 1 906 0218,,,,,,,,,,,,outside,,,,,,,,,,,,https://thebernardshaw.com/,,,,,,,,,,center,POINT (-6.271351 53.364689),Dublin,EPSG:4326
way/62152061,way/62152061,,,,,,,,,,,,,,,,,biergarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dtwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.262466 53.334458),Dublin,EPSG:4326
way/80567253,way/80567253,,,,Dublin,IE,Dublin,,,,,D01 YX64,Mary Street,,,,,pub,,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reservations@thechurch.ie,,,,,,,,4,yes,wlan,no,,,1,,,,,,,,The Church,,,,,,,,,,,,,,"Mo-Th 10:30-23:00, Fr,Sa 10:30-02:30, Su 11:30-23:00",,,yes,,,,,,,,,+353 1 8280102,,,,,,,,,,,,,,,,,,,,,,,,https://www.thechurch.ie/,,https://www.thechurch.ie/food-menus/,,limited,,Q7590163,"Category:St Mary's Church, Mary Street, Dublin","en:St Mary's Church, Mary Street, Dublin",,center,POINT (-6.266917 53.348591),Dublin,EPSG:4326
way/80580032,way/80580032,,,,Dublin,,Dublin,,,51,,D04 FD83,Haddington Road,,,,The Fifty One,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,no,,,The 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.242357 53.334608),Dublin,EPSG:4326
way/84017579,way/84017579,,,,Dublin,,Dublin,,,112-115,,D04 H328,Haddington Road,,,,Jack Ryan,pub,,,,,,,,,,,,retail,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan’s Beggar’s Bush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://beggarsbush.com/,,,,yes,,,,,,center,POINT (-6.236737 53.336325),Dublin,EPSG:4326
way/84018113,way/84018113,,,,Dublin,,Dublin,,,36,,D04 R6Y6,Baggot Street Upper,,,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,The Waterloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,center,POINT (-6.243097 53.333501),Dublin,EPSG:4326
way/84018119,way/84018119,,,,Dublin,,Dublin,,,42-44,,D04 V210,Baggot Street Upper,,,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,https://www.facebook.com/Searsons/,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,Searsons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://searsonsbar.ie/,https://searsonsbar.ie/book-online/,https://searsonsbar.ie/menus/,,yes,,,,,,center,POINT (-6.242819 53.333404),Dublin,EPSG:4326
way/96196917,way/96196917,,,,Dublin,IE,Dublin,,,26,,D04 X7P8,Bath Avenue,,,,,pub,,,,,,,,,,,,house,,,2,,,,,,,,,,https://www.facebook.com/The-Bath-Pub-248019211955434,@bathpubdub,,,,@Thebathpub,,,,,,,,,,,,,,,,,info@thebathpub.ie,,,,,,,,,,,,,,,,,,,,,,The Bath,,,,,,,,,,,,,,,,,,,,,,,,,,+353892415804,,,,,,,,,,,,,,,,,,,,,no,,,https://thebathpub.ie/,,,,limited,,,,,,center,POINT (-6.23216 53.337473),Dublin,EPSG:4326
way/96255051,way/96255051,,,,Dublin,IE,Dublin,,,62,,D04 T295,Grand Canal Street Upper,,,,,pub,,,,,,,,,,,,retail,,,2,,,,2025-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,Slattery’s,Slattery’s,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://slatterys.bar/,,https://slatterys.bar/menu-page/,,limited,,,,,,center,POINT (-6.234235 53.337322),Dublin,EPSG:4326
way/96255067,way/96255067,,,,,,,,,2,,,Shelbourne Road,,,,,pub,,,,,,,,,,,,house,,,2,,,,2025-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,The Cow,The Cow,,,,,,,,,,,,,,,,,,,,,,,,,+353 1 660 2390,,,,,,,,,,,,,,,,,,,,,,,,https://thechophouse.ie/,,,,limited,,,,,,center,POINT (-6.23404 53.337041),Dublin,EPSG:4326
way/97172993,way/97172993,,,,,,,,,,,,Harcourt Street,,,,,biergarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dicey's Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.263973 53.335846),Dublin,EPSG:4326
way/102694943,way/102694943,,,,Dublin,,,,,35-36,,D02E448,Sir John Rogerson's Quay,,,,,pub,,,,,,,,,,,,retail,,,4,,,,2025-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,reservation@ferrymanhotel.com,,+353 1 671 8704,,,yes,,,,yes,,,,,,,,,,,,,The Ferryman,,,,,,,,,,,,,,,,,yes,,,,,,,,,+353 1 671 7053,,,,,,,,,,,,no,,,,,,,,,yes,hotel,,https://www.theferrymantownhouse.ie,,,,yes,,,,,,center,POINT (-6.240702 53.346008),Dublin,EPSG:4326
way/105915571,way/105915571,,,,Dublin,,,,,,,,Terenure Road East,,,,,,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,The Wine Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alcohol,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.274806 53.312022),Dublin,EPSG:4326
way/105915585,way/105915585,,,,Dublin,,Dublin,,Bank House,6,,D06 W3K0,Terenure Road East,,,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,,the_bottlersbank,,,,thebottlersbank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Bottler’s Bank,The Bottler’s Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.274988 53.312056),Dublin,EPSG:4326
way/106056173,way/106056173,,,,Milltown,IE,Dublin,G,,,,D06 YK38,Milltown Road,Classon's Bridge,,yes,,pub,,,,,,,,,,,,retail,,,,,,,2024-04-22,,,,,,,,,,,,,,,,,burger;seafood,,,,yes,,,,,,,info@droppingwell.com,,,,,yes,,,,,wlan,customers,,,,0,,,,,,,The Dropping Well,,,,,,,,,,,,,,,,,no,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,https://droppingwell.com/,,,,,,,,,,center,POINT (-6.254892 53.308065),Dublin,EPSG:4326
way/109370672,way/109370672,,,,Dublin,,Dublin,,,10,,D04 FC63,Haddington Road,,,,,pub,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smyth’s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.243468 53.334814),Dublin,EPSG:4326
way/111184730,way/111184730,,,,,,,,,9,,,Grand Canal Street Lower,,,,,pub,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Becky Morgan's,The Storyteller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,,,,,,center,POINT (-6.242093 53.339698),Dublin,EPSG:4326
way/115086421,way/115086421,,,,Dublin,,Dublin,,,,,D04 X5X7,Grand Canal Street Upper,,,,,pub,,,,,,,,,,,galway_bay,yes,,,,,,,,,,,,,https://www.facebook.com/Thegasworksbar,,,,,@gasworksbarD4,,,,,,,,,,,,,,,,,gasworks@galwaybaybrewery.com,,,,,,,,,,,,,,,,,,,,,,The Gasworks,,,,,,,,,,,,,,,,Galway Bay Brewery,yes,,,,,,,,,+353 1 230 9634,,,,,,,,,,,,outside,,,,,,,,,,,,https://www.galwaybaybrewery.com/gasworks/,,,,no,,,,,,center,POINT (-6.2375 53.338003),Dublin,EPSG:4326
way/115772293,way/115772293,,,,Dublin,IE,Dublin,,,68,,D06 EH93,Clonskeagh Road,,,,,pub,,,,,,,,,,,various,retail,,,2,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,Farmer Brown’s,,,,,,,,Clonskeagh House;O’Shea’s,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,,https://www.farmerbrowns.ie,,,,,,,,,,center,POINT (-6.23881 53.314139),Dublin,EPSG:4326
way/128942373,way/128942373,,,,Dublin,IE,Dublin,,,1-2,,D09 CF72,Prospect Square,,,,The Gravediggers,pub,no,,,,,,,,,,Guinness,retail,,,,,,,,,,,,,https://www.facebook.com/JohnKavanaghTheGravediggers,gravediggers2,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,no,,,,,,,,,no,,,"John Kavanagh’s ""The Gravediggers""",,,,,,,,,,,,,,,,,no,,yes,yes,,,,,,,,,,,,,,,,,,outside,,,,,1833,no,,,,,,https://johnkavanagh-the-gravediggers.business.site/,,,,,,,,,,center,POINT (-6.271931 53.369668),Dublin,EPSG:4326
way/129750566,way/129750566,,,,Dublin,,Dublin,,,140-142,,D12 HE65,Sundrive Road,,,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flood’s,,,,,,,,The Four Roads,,,,,,,,,,,,,,,,,,+353 1 4542463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.296434 53.324472),Dublin,EPSG:4326
way/129774681,way/129774681,,,,Dublin,,Dublin,,,760,,D08 HV0A,South Circular Road,,,,,pub,,,,,,,,,,,,retail,,,2,,,,,,,,,,https://www.facebook.com/PatriotsInnDublin,thepatriotsinn,,,,,,,,,,,,,,,,,,,,,denisewhitecatering@gmail.com,,,,,,,,,,,,,,,,,,,,,,The Patriot’s Inn,,,,,,,,,,,,,,,,,,,,,,,,,,+35316799595,,,,,,,,,,,,,,,darts,,,,,,,,,https://patriotsinn.ie,,,,no,,,,,,center,POINT (-6.307559 53.341686),Dublin,EPSG:4326
way/129924270,way/129924270,,,,,,,,,,,,,,,,,pub,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artane House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.214139 53.384437),Dublin,EPSG:4326
node/130156802,node/130156802,,,,Dublin,,Dublin,,Beresford Hotel,21,,D01 T9R2,Store Street,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le Monde Café Bar,,,,,,,,,,,,,,,,,,,,,,,,,,+353 1 8134700,,,,,,,,,,,,,,,,,,,,,,,,https://www.beresfordhotelifsc.com/en/bar/,,,,no,,,,,,,POINT (-6.252762 53.350192),Dublin,EPSG:4326
way/130774599,way/130774599,,,,Dublin,,Dublin,,,,,D09 PP93,Prospect Road,,,,P. Hedigan,pub,,,,,,,,,,,,retail,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@thebrianboru.ie,,,,,,,,,,wlan,no,,,,,,,,,,,The Brian Boru,,,,,,,,,,,,,,,,,,,,,,,,,,+353 1 830 4527,,,,,,,,,,,,,,,,,,,,,,,,https://www.thebrianboru.com/,,,,,,,,,,center,POINT (-6.272175 53.365213),Dublin,EPSG:4326
node/133193958,node/133193958,,,,Dublin,,Dublin,,,42,,D02 R593,Charlemont Street,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/thebargeinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Barge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.thebarge.ie/,,https://www.thebarge.ie/all-day-menu,,limited,,,,,,,POINT (-6.260588 53.330551),Dublin,EPSG:4326
way/154508544,way/154508544,,,,Dublin,,,,,92,,D02KT51,Camden Street Lower,,,,,pub,,,,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,377577100956418,,,,Ryan’s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,no,,,,,,center,POINT (-6.265819 53.33634),Dublin,EPSG:4326
way/154508547,way/154508547,,,,Dublin,,Dublin,,,25,,D02 H527,Wexford Street,,,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,https://www.facebook.com/whelanslive,,,,,,,,,,,,,,,,,,,,,,info@whelanslive.com,,,,,,,,4,,,,,,,,,,,,,,Whelan’s,,,,,,,,,,,,,,,,,,,,,,,,,,+35314780766,,,,,,,,,,,,outside,,,,,,,,,,,,https://www.whelanslive.com,,,,,,Q7992381,,en:Whelan's,,center,POINT (-6.265875 53.336558),Dublin,EPSG:4326
way/154518581,way/154518581,,,,Dublin,,Dublin,,,78,,D02 C642,Camden Street Lower,,,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Devitt’s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,https://www.devittspub.ie/,,https://www.devittspub.ie/food-drink/,,limited,,,,,,center,POINT (-6.265528 53.335553),Dublin,EPSG:4326
way/227764081,way/227764081,,,,Dublin,,Dublin,,,22,,D02 FH28,Aston Quay,,,,,pub,,,,,,,,,,,,retail,,,,,,,2024-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,yes,,,,,,,,,,,,,Fitzgerald's,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,center,POINT (-6.259644 53.346642),Dublin,EPSG:4326
way/227766040,way/227766040,,,,Dublin,IE,Dublin,,,30,,D01 YP70,Bachelors Walk,,,,,pub,,,,,,,,,,,,retail,,,5,,,,2025-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,4,yes,,,,,,,,,,,,,O’Connell’s,,,,,,,"Dublin City Council, Record of Protected Structures (2010), no. 326",,,,,,,,,,yes,,,,,,,,,+353 1 874 5730,,,,,,,,,,,,,,,,,,,,,,,,http://www.oconnellsbardublin.ie/,,,,yes,,,,,,center,POINT (-6.260286 53.34744),Dublin,EPSG:4326
way/228284413,way/228284413,,,,Dublin,,Dublin,,,10,,D02 YY95,George's Quay,,,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,The Workshop,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,,limited,,,,,,center,POINT (-6.254782 53.347327),Dublin,EPSG:4326
way/228284414,way/228284414,,,,Dublin,,Dublin,,,8-9,,D02 TK71,Poolbeg Street,,,,,pub,,,,,,,,,,,various;guinness,retail,,,,,,,,,,,,,,,,,,@Mulligans6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mulligan's,,,,,,,,,,,,,,,,,,,,,,,,,,+353 1 6775582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6934236,Category:Mulligan's,en:Mulligan's,,center,POINT (-6.255529 53.34696),Dublin,EPSG:4326
way/228286745,way/228286745,,,,Dublin,,Dublin,,,2,,D02 K590,Hawkins Street,,,,,pub,,,,,,,,,,,,retail,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chaplin’s,,,,,,,,,,,,,,"Fr-Su 16:00-02:00, Mo-Th 17:00-02:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.257187 53.346212),Dublin,EPSG:4326
way/228287775,way/228287775,,,,Dublin,,Dublin,,,27,,D02 PX77,Westmoreland Street,,,,,pub,,,,,,,,,,,guinness;erdinger;various,retail,,,,,,,,,,,,,https://www.facebook.com/cassidyswestmorland/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,yes,,,,,,,,,,,,,Cassidy's,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cassidysbar.ie/web/home.html,,,,,,,,,,center,POINT (-6.258737 53.34636),Dublin,EPSG:4326
way/228290004,way/228290004,,,,Dublin,,Dublin,,,31,,D02 DF77,Fleet Street,,,,,pub,,,,,,,,,,,,retail,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,Bowe’s,,,,,,,,,,,,,,,,,,,,,,,,,,+353 1 671 4038,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/Boweswhiskeybar/,,,,,,,,,,center,POINT (-6.257887 53.345807),Dublin,EPSG:4326
way/228762044,way/228762044,,,,Dublin,IE,,,,7-8,,,Capel Street,,,,,bar,,,,,,,,,,,,yes,,,,,,no,2025-10-19,,,,,,,,+353 1 874 0710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,no,,,,0,primary,,,,,,Panti Bar,,,,,,,,,,,,,,Mo-Th 16:00-23:30; Fr-Sa 16:00-00:30; Su 16:00-23:00,,,no,,,,,,,,,,,,,,,,,,,,,outside,,,,,,no,,,,,,https://www.pantibar.com/,,,,yes,,,,,,center,POINT (-6.267794 53.346611),Dublin,EPSG:4326
